COUNT,POPULATION,SEX,SITE,YEAR
267,40382360,Female,"Glioma malignant, NOS",2007
281,40576293,Female,"Glioma malignant, NOS",2008
297,40670476,Female,"Glioma malignant, NOS",2009
263,40632802,Female,"Glioma malignant, NOS",2010
20,40459979,Female,"Glioma malignant, NOS",2011
310,40459979,Female,"Glioma malignant, NOS",2011
17,40305950,Female,"Glioma malignant, NOS",2012
226,40305950,Female,"Glioma malignant, NOS",2012
300,40209737,Female,"Glioma malignant, NOS",2013
265,40151698,Female,"Glioma malignant, NOS",2014
271,40146685,Female,"Glioma malignant, NOS",2015
23,40165280,Female,"Glioma malignant, NOS",2016
300,40165280,Female,"Glioma malignant, NOS",2016
18,40141655,Female,"Glioma malignant, NOS",2017
291,40141655,Female,"Glioma malignant, NOS",2017
19,39998876,Female,Hemangioblastoma,2005
18,40382360,Female,Hemangioblastoma,2007
16,40670476,Female,Hemangioblastoma,2009
19,40209737,Female,Hemangioblastoma,2013
30,40151698,Female,Hemangioblastoma,2014
16,40146685,Female,Hemangioblastoma,2015
21,40165280,Female,Hemangioblastoma,2016
24,39998876,Female,Hemangioma,2005
35,40165421,Female,Hemangioma,2006
31,40382360,Female,Hemangioma,2007
46,40576293,Female,Hemangioma,2008
53,40670476,Female,Hemangioma,2009
44,40632802,Female,Hemangioma,2010
72,40459979,Female,Hemangioma,2011
66,40305950,Female,Hemangioma,2012
62,40209737,Female,Hemangioma,2013
64,40151698,Female,Hemangioma,2014
73,40146685,Female,Hemangioma,2015
51,40165280,Female,Hemangioma,2016
48,40141655,Female,Hemangioma,2017
46,39865121,Female,Meningioma,2004
74,39998876,Female,Meningioma,2005
50,40165421,Female,Meningioma,2006
55,40382360,Female,Meningioma,2007
61,40576293,Female,Meningioma,2008
58,40670476,Female,Meningioma,2009
60,40632802,Female,Meningioma,2010
67,40459979,Female,Meningioma,2011
64,40305950,Female,Meningioma,2012
76,40209737,Female,Meningioma,2013
67,40151698,Female,Meningioma,2014
66,40146685,Female,Meningioma,2015
69,40165280,Female,Meningioma,2016
64,40141655,Female,Meningioma,2017
22,39865121,Female,Mixed glioma,2004
17,39998876,Female,Mixed glioma,2005
17,40382360,Female,Mixed glioma,2007
21,40576293,Female,Mixed glioma,2008
17,40670476,Female,Mixed glioma,2009
32,39865121,Female,"Neoplasm, unspecified",2004
27,39865121,Female,"Neoplasm, unspecified",2004
57,39998876,Female,"Neoplasm, unspecified",2005
19,39998876,Female,"Neoplasm, unspecified",2005
51,40165421,Female,"Neoplasm, unspecified",2006
26,40165421,Female,"Neoplasm, unspecified",2006
52,40382360,Female,"Neoplasm, unspecified",2007
16,40382360,Female,"Neoplasm, unspecified",2007
78,40576293,Female,"Neoplasm, unspecified",2008
62,40670476,Female,"Neoplasm, unspecified",2009
89,40632802,Female,"Neoplasm, unspecified",2010
67,40459979,Female,"Neoplasm, unspecified",2011
20,40459979,Female,"Neoplasm, unspecified",2011
72,40305950,Female,"Neoplasm, unspecified",2012
24,40305950,Female,"Neoplasm, unspecified",2012
73,40209737,Female,"Neoplasm, unspecified",2013
23,40209737,Female,"Neoplasm, unspecified",2013
79,40151698,Female,"Neoplasm, unspecified",2014
22,40151698,Female,"Neoplasm, unspecified",2014
81,40146685,Female,"Neoplasm, unspecified",2015
53,40165280,Female,"Neoplasm, unspecified",2016
25,40165280,Female,"Neoplasm, unspecified",2016
51,40141655,Female,"Neoplasm, unspecified",2017
21,40141655,Female,"Neoplasm, unspecified",2017
115,39865121,Female,"Nerve sheath, benign and malignant",2004
165,39998876,Female,"Nerve sheath, benign and malignant",2005
157,40165421,Female,"Nerve sheath, benign and malignant",2006
129,40382360,Female,"Nerve sheath, benign and malignant",2007
145,40576293,Female,"Nerve sheath, benign and malignant",2008
155,40670476,Female,"Nerve sheath, benign and malignant",2009
130,40632802,Female,"Nerve sheath, benign and malignant",2010
132,40459979,Female,"Nerve sheath, benign and malignant",2011
143,40305950,Female,"Nerve sheath, benign and malignant",2012
150,40209737,Female,"Nerve sheath, benign and malignant",2013
102,40151698,Female,"Nerve sheath, benign and malignant",2014
156,40146685,Female,"Nerve sheath, benign and malignant",2015
122,40165280,Female,"Nerve sheath, benign and malignant",2016
117,40141655,Female,"Nerve sheath, benign and malignant",2017
115,39865121,Female,"Neuronal/glial, neuronal",2004
22,39865121,Female,"Neuronal/glial, neuronal",2004
136,39998876,Female,"Neuronal/glial, neuronal",2005
26,39998876,Female,"Neuronal/glial, neuronal",2005
121,40165421,Female,"Neuronal/glial, neuronal",2006
25,40165421,Female,"Neuronal/glial, neuronal",2006
138,40382360,Female,"Neuronal/glial, neuronal",2007
32,40382360,Female,"Neuronal/glial, neuronal",2007
134,40576293,Female,"Neuronal/glial, neuronal",2008
28,40576293,Female,"Neuronal/glial, neuronal",2008
137,40670476,Female,"Neuronal/glial, neuronal",2009
17,40670476,Female,"Neuronal/glial, neuronal",2009
144,40632802,Female,"Neuronal/glial, neuronal",2010
19,40632802,Female,"Neuronal/glial, neuronal",2010
153,40459979,Female,"Neuronal/glial, neuronal",2011
154,40305950,Female,"Neuronal/glial, neuronal",2012
17,40305950,Female,"Neuronal/glial, neuronal",2012
159,40209737,Female,"Neuronal/glial, neuronal",2013
23,40209737,Female,"Neuronal/glial, neuronal",2013
155,40151698,Female,"Neuronal/glial, neuronal",2014
25,40151698,Female,"Neuronal/glial, neuronal",2014
170,40146685,Female,"Neuronal/glial, neuronal",2015
16,40146685,Female,"Neuronal/glial, neuronal",2015
184,40165280,Female,"Neuronal/glial, neuronal",2016
29,40165280,Female,"Neuronal/glial, neuronal",2016
165,40141655,Female,"Neuronal/glial, neuronal",2017
20,40141655,Female,"Neuronal/glial, neuronal",2017
24,39865121,Female,Oligodendroglioma,2004
23,39998876,Female,Oligodendroglioma,2005
27,40165421,Female,Oligodendroglioma,2006
29,40382360,Female,Oligodendroglioma,2007
18,40576293,Female,Oligodendroglioma,2008
17,40670476,Female,Oligodendroglioma,2009
24,40632802,Female,Oligodendroglioma,2010
19,40459979,Female,Oligodendroglioma,2011
22,40305950,Female,Oligodendroglioma,2012
21,40151698,Female,Oligodendroglioma,2014
18,40146685,Female,Oligodendroglioma,2015
21,40165280,Female,Oligodendroglioma,2016
18,39998876,Female,Other mesenchymal,2005
18,40165421,Female,Other mesenchymal,2006
20,40382360,Female,Other mesenchymal,2007
19,40576293,Female,Other mesenchymal,2008
29,40670476,Female,Other mesenchymal,2009
26,40632802,Female,Other mesenchymal,2010
26,40459979,Female,Other mesenchymal,2011
51,40305950,Female,Other mesenchymal,2012
40,40209737,Female,Other mesenchymal,2013
41,40151698,Female,Other mesenchymal,2014
50,40146685,Female,Other mesenchymal,2015
51,40165280,Female,Other mesenchymal,2016
45,40141655,Female,Other mesenchymal,2017
329,39865121,Female,Pilocytic astrocytoma,2004
321,39998876,Female,Pilocytic astrocytoma,2005
318,40165421,Female,Pilocytic astrocytoma,2006
338,40382360,Female,Pilocytic astrocytoma,2007
335,40576293,Female,Pilocytic astrocytoma,2008
354,40670476,Female,Pilocytic astrocytoma,2009
392,40632802,Female,Pilocytic astrocytoma,2010
354,40459979,Female,Pilocytic astrocytoma,2011
379,40305950,Female,Pilocytic astrocytoma,2012
365,40209737,Female,Pilocytic astrocytoma,2013
401,40151698,Female,Pilocytic astrocytoma,2014
354,40146685,Female,Pilocytic astrocytoma,2015
314,40165280,Female,Pilocytic astrocytoma,2016
377,40141655,Female,Pilocytic astrocytoma,2017
19,40576293,Female,Pineal parenchymal,2008
16,40151698,Female,Pineal parenchymal,2014
24,40146685,Female,Pineal parenchymal,2015
271,39865121,Female,Pituitary,2004
313,39998876,Female,Pituitary,2005
356,40165421,Female,Pituitary,2006
341,40382360,Female,Pituitary,2007
398,40576293,Female,Pituitary,2008
398,40670476,Female,Pituitary,2009
456,40632802,Female,Pituitary,2010
460,40459979,Female,Pituitary,2011
484,40305950,Female,Pituitary,2012
466,40209737,Female,Pituitary,2013
509,40151698,Female,Pituitary,2014
492,40146685,Female,Pituitary,2015
527,40165280,Female,Pituitary,2016
491,40141655,Female,Pituitary,2017
115,39865121,Female,Tumors of Cranial and Spinal Nerves,2004
165,39998876,Female,Tumors of Cranial and Spinal Nerves,2005
157,40165421,Female,Tumors of Cranial and Spinal Nerves,2006
129,40382360,Female,Tumors of Cranial and Spinal Nerves,2007
145,40576293,Female,Tumors of Cranial and Spinal Nerves,2008
155,40670476,Female,Tumors of Cranial and Spinal Nerves,2009
130,40632802,Female,Tumors of Cranial and Spinal Nerves,2010
132,40459979,Female,Tumors of Cranial and Spinal Nerves,2011
143,40305950,Female,Tumors of Cranial and Spinal Nerves,2012
150,40209737,Female,Tumors of Cranial and Spinal Nerves,2013
102,40151698,Female,Tumors of Cranial and Spinal Nerves,2014
156,40146685,Female,Tumors of Cranial and Spinal Nerves,2015
122,40165280,Female,Tumors of Cranial and Spinal Nerves,2016
117,40141655,Female,Tumors of Cranial and Spinal Nerves,2017
190,39865121,Female,Tumors of Neuroepthelial Tissue,2004
1207,39865121,Female,Tumors of Neuroepthelial Tissue,2004
197,39998876,Female,Tumors of Neuroepthelial Tissue,2005
1146,39998876,Female,Tumors of Neuroepthelial Tissue,2005
201,40165421,Female,Tumors of Neuroepthelial Tissue,2006
1160,40165421,Female,Tumors of Neuroepthelial Tissue,2006
230,40382360,Female,Tumors of Neuroepthelial Tissue,2007
1237,40382360,Female,Tumors of Neuroepthelial Tissue,2007
229,40576293,Female,Tumors of Neuroepthelial Tissue,2008
1232,40576293,Female,Tumors of Neuroepthelial Tissue,2008
215,40670476,Female,Tumors of Neuroepthelial Tissue,2009
1217,40670476,Female,Tumors of Neuroepthelial Tissue,2009
232,40632802,Female,Tumors of Neuroepthelial Tissue,2010
1221,40632802,Female,Tumors of Neuroepthelial Tissue,2010
247,40459979,Female,Tumors of Neuroepthelial Tissue,2011
1268,40459979,Female,Tumors of Neuroepthelial Tissue,2011
252,40305950,Female,Tumors of Neuroepthelial Tissue,2012
1172,40305950,Female,Tumors of Neuroepthelial Tissue,2012
260,40209737,Female,Tumors of Neuroepthelial Tissue,2013
1262,40209737,Female,Tumors of Neuroepthelial Tissue,2013
243,40151698,Female,Tumors of Neuroepthelial Tissue,2014
1293,40151698,Female,Tumors of Neuroepthelial Tissue,2014
251,40146685,Female,Tumors of Neuroepthelial Tissue,2015
1190,40146685,Female,Tumors of Neuroepthelial Tissue,2015
276,40165280,Female,Tumors of Neuroepthelial Tissue,2016
1140,40165280,Female,Tumors of Neuroepthelial Tissue,2016
250,40141655,Female,Tumors of Neuroepthelial Tissue,2017
1176,40141655,Female,Tumors of Neuroepthelial Tissue,2017
354,39865121,Female,Tumors of Sellar Region,2004
391,39998876,Female,Tumors of Sellar Region,2005
433,40165421,Female,Tumors of Sellar Region,2006
437,40382360,Female,Tumors of Sellar Region,2007
462,40576293,Female,Tumors of Sellar Region,2008
489,40670476,Female,Tumors of Sellar Region,2009
548,40632802,Female,Tumors of Sellar Region,2010
546,40459979,Female,Tumors of Sellar Region,2011
562,40305950,Female,Tumors of Sellar Region,2012
555,40209737,Female,Tumors of Sellar Region,2013
600,40151698,Female,Tumors of Sellar Region,2014
573,40146685,Female,Tumors of Sellar Region,2015
594,40165280,Female,Tumors of Sellar Region,2016
569,40141655,Female,Tumors of Sellar Region,2017
70,39865121,Female,Tumors of the Meninges,2004
111,39998876,Female,Tumors of the Meninges,2005
76,40165421,Female,Tumors of the Meninges,2006
93,40382360,Female,Tumors of the Meninges,2007
90,40576293,Female,Tumors of the Meninges,2008
103,40670476,Female,Tumors of the Meninges,2009
99,40632802,Female,Tumors of the Meninges,2010
107,40459979,Female,Tumors of the Meninges,2011
130,40305950,Female,Tumors of the Meninges,2012
135,40209737,Female,Tumors of the Meninges,2013
138,40151698,Female,Tumors of the Meninges,2014
132,40146685,Female,Tumors of the Meninges,2015
141,40165280,Female,Tumors of the Meninges,2016
119,40141655,Female,Tumors of the Meninges,2017
47,39865121,Female,Unclassified Tumors,2004
27,39865121,Female,Unclassified Tumors,2004
81,39998876,Female,Unclassified Tumors,2005
20,39998876,Female,Unclassified Tumors,2005
86,40165421,Female,Unclassified Tumors,2006
27,40165421,Female,Unclassified Tumors,2006
83,40382360,Female,Unclassified Tumors,2007
16,40382360,Female,Unclassified Tumors,2007
124,40576293,Female,Unclassified Tumors,2008
115,40670476,Female,Unclassified Tumors,2009
17,40670476,Female,Unclassified Tumors,2009
133,40632802,Female,Unclassified Tumors,2010
139,40459979,Female,Unclassified Tumors,2011
20,40459979,Female,Unclassified Tumors,2011
138,40305950,Female,Unclassified Tumors,2012
24,40305950,Female,Unclassified Tumors,2012
136,40209737,Female,Unclassified Tumors,2013
24,40209737,Female,Unclassified Tumors,2013
143,40151698,Female,Unclassified Tumors,2014
24,40151698,Female,Unclassified Tumors,2014
154,40146685,Female,Unclassified Tumors,2015
16,40146685,Female,Unclassified Tumors,2015
104,40165280,Female,Unclassified Tumors,2016
26,40165280,Female,Unclassified Tumors,2016
99,40141655,Female,Unclassified Tumors,2017
22,40141655,Female,Unclassified Tumors,2017
21,39865121,Female,Unique astrocytoma variants,2004
19,39865121,Female,Unique astrocytoma variants,2004
24,39998876,Female,Unique astrocytoma variants,2005
20,39998876,Female,Unique astrocytoma variants,2005
24,40165421,Female,Unique astrocytoma variants,2006
19,40165421,Female,Unique astrocytoma variants,2006
36,40382360,Female,Unique astrocytoma variants,2007
35,40382360,Female,Unique astrocytoma variants,2007
26,40576293,Female,Unique astrocytoma variants,2008
36,40670476,Female,Unique astrocytoma variants,2009
20,40670476,Female,Unique astrocytoma variants,2009
29,40632802,Female,Unique astrocytoma variants,2010
18,40459979,Female,Unique astrocytoma variants,2011
23,40459979,Female,Unique astrocytoma variants,2011
33,40305950,Female,Unique astrocytoma variants,2012
19,40305950,Female,Unique astrocytoma variants,2012
35,40209737,Female,Unique astrocytoma variants,2013
16,40209737,Female,Unique astrocytoma variants,2013
40,40151698,Female,Unique astrocytoma variants,2014
16,40151698,Female,Unique astrocytoma variants,2014
18,40146685,Female,Unique astrocytoma variants,2015
25,40146685,Female,Unique astrocytoma variants,2015
21,40165280,Female,Unique astrocytoma variants,2016
20,40165280,Female,Unique astrocytoma variants,2016
17,40141655,Female,Unique astrocytoma variants,2017
23,40141655,Female,Unique astrocytoma variants,2017
26,41889233,Male,Anaplastic astrocytoma,2004
36,42006384,Male,Anaplastic astrocytoma,2005
36,42158997,Male,Anaplastic astrocytoma,2006
56,42367071,Male,Anaplastic astrocytoma,2007
43,42541971,Male,Anaplastic astrocytoma,2008
40,42609915,Male,Anaplastic astrocytoma,2009
43,42549101,Male,Anaplastic astrocytoma,2010
34,42367731,Male,Anaplastic astrocytoma,2011
44,42177631,Male,Anaplastic astrocytoma,2012
45,42037054,Male,Anaplastic astrocytoma,2013
58,41956389,Male,Anaplastic astrocytoma,2014
46,41936220,Male,Anaplastic astrocytoma,2015
41,41945689,Male,Anaplastic astrocytoma,2016
31,41924375,Male,Anaplastic astrocytoma,2017
109,41889233,Male,"Astrocytoma, NOS",2004
99,42006384,Male,"Astrocytoma, NOS",2005
107,42158997,Male,"Astrocytoma, NOS",2006
95,42367071,Male,"Astrocytoma, NOS",2007
93,42541971,Male,"Astrocytoma, NOS",2008
108,42609915,Male,"Astrocytoma, NOS",2009
124,42549101,Male,"Astrocytoma, NOS",2010
103,42367731,Male,"Astrocytoma, NOS",2011
82,42177631,Male,"Astrocytoma, NOS",2012
90,42037054,Male,"Astrocytoma, NOS",2013
111,41956389,Male,"Astrocytoma, NOS",2014
97,41936220,Male,"Astrocytoma, NOS",2015
90,41945689,Male,"Astrocytoma, NOS",2016
97,41924375,Male,"Astrocytoma, NOS",2017
27,41889233,Male,Choroid plexus,2004
34,42006384,Male,Choroid plexus,2005
40,42158997,Male,Choroid plexus,2006
35,42367071,Male,Choroid plexus,2007
37,42541971,Male,Choroid plexus,2008
38,42609915,Male,Choroid plexus,2009
39,42549101,Male,Choroid plexus,2010
17,42549101,Male,Choroid plexus,2010
33,42367731,Male,Choroid plexus,2011
37,42177631,Male,Choroid plexus,2012
37,42037054,Male,Choroid plexus,2013
36,41956389,Male,Choroid plexus,2014
35,41936220,Male,Choroid plexus,2015
19,41936220,Male,Choroid plexus,2015
36,41945689,Male,Choroid plexus,2016
29,41924375,Male,Choroid plexus,2017
85,41889233,Male,Craniopharyngioma,2004
94,42006384,Male,Craniopharyngioma,2005
81,42158997,Male,Craniopharyngioma,2006
86,42367071,Male,Craniopharyngioma,2007
96,42541971,Male,Craniopharyngioma,2008
80,42609915,Male,Craniopharyngioma,2009
83,42549101,Male,Craniopharyngioma,2010
71,42367731,Male,Craniopharyngioma,2011
79,42177631,Male,Craniopharyngioma,2012
92,42037054,Male,Craniopharyngioma,2013
105,41956389,Male,Craniopharyngioma,2014
94,41936220,Male,Craniopharyngioma,2015
74,41945689,Male,Craniopharyngioma,2016
94,41924375,Male,Craniopharyngioma,2017
24,41889233,Male,Diffuse astrocytoma,2004
23,42006384,Male,Diffuse astrocytoma,2005
18,42158997,Male,Diffuse astrocytoma,2006
25,42367071,Male,Diffuse astrocytoma,2007
23,42541971,Male,Diffuse astrocytoma,2008
20,42609915,Male,Diffuse astrocytoma,2009
24,42367731,Male,Diffuse astrocytoma,2011
19,42177631,Male,Diffuse astrocytoma,2012
294,41889233,Male,Embryonal/primitive/medulloblastoma,2004
280,42006384,Male,Embryonal/primitive/medulloblastoma,2005
295,42158997,Male,Embryonal/primitive/medulloblastoma,2006
299,42367071,Male,Embryonal/primitive/medulloblastoma,2007
321,42541971,Male,Embryonal/primitive/medulloblastoma,2008
310,42609915,Male,Embryonal/primitive/medulloblastoma,2009
313,42549101,Male,Embryonal/primitive/medulloblastoma,2010
301,42367731,Male,Embryonal/primitive/medulloblastoma,2011
285,42177631,Male,Embryonal/primitive/medulloblastoma,2012
272,42037054,Male,Embryonal/primitive/medulloblastoma,2013
282,41956389,Male,Embryonal/primitive/medulloblastoma,2014
296,41936220,Male,Embryonal/primitive/medulloblastoma,2015
287,41945689,Male,Embryonal/primitive/medulloblastoma,2016
292,41924375,Male,Embryonal/primitive/medulloblastoma,2017
19,42006384,Male,Ependymoma variants,2005
27,42158997,Male,Ependymoma variants,2006
20,42367071,Male,Ependymoma variants,2007
22,42609915,Male,Ependymoma variants,2009
26,42549101,Male,Ependymoma variants,2010
22,42367731,Male,Ependymoma variants,2011
17,42177631,Male,Ependymoma variants,2012
21,42037054,Male,Ependymoma variants,2013
16,41936220,Male,Ependymoma variants,2015
23,41945689,Male,Ependymoma variants,2016
21,41924375,Male,Ependymoma variants,2017
103,41889233,Male,Ependymoma/anaplastic ependymoma,2004
106,42006384,Male,Ependymoma/anaplastic ependymoma,2005
111,42158997,Male,Ependymoma/anaplastic ependymoma,2006
115,42367071,Male,Ependymoma/anaplastic ependymoma,2007
97,42541971,Male,Ependymoma/anaplastic ependymoma,2008
114,42609915,Male,Ependymoma/anaplastic ependymoma,2009
121,42549101,Male,Ependymoma/anaplastic ependymoma,2010
116,42367731,Male,Ependymoma/anaplastic ependymoma,2011
115,42177631,Male,Ependymoma/anaplastic ependymoma,2012
114,42037054,Male,Ependymoma/anaplastic ependymoma,2013
109,41956389,Male,Ependymoma/anaplastic ependymoma,2014
111,41936220,Male,Ependymoma/anaplastic ependymoma,2015
102,41945689,Male,Ependymoma/anaplastic ependymoma,2016
119,41924375,Male,Ependymoma/anaplastic ependymoma,2017
18,41889233,Male,Germ Cell Tumors,2004
106,41889233,Male,Germ Cell Tumors,2004
22,42006384,Male,Germ Cell Tumors,2005
86,42006384,Male,Germ Cell Tumors,2005
27,42158997,Male,Germ Cell Tumors,2006
101,42158997,Male,Germ Cell Tumors,2006
18,42367071,Male,Germ Cell Tumors,2007
100,42367071,Male,Germ Cell Tumors,2007
20,42541971,Male,Germ Cell Tumors,2008
116,42541971,Male,Germ Cell Tumors,2008
28,42609915,Male,Germ Cell Tumors,2009
98,42609915,Male,Germ Cell Tumors,2009
22,42549101,Male,Germ Cell Tumors,2010
112,42549101,Male,Germ Cell Tumors,2010
101,42367731,Male,Germ Cell Tumors,2011
23,42177631,Male,Germ Cell Tumors,2012
110,42177631,Male,Germ Cell Tumors,2012
26,42037054,Male,Germ Cell Tumors,2013
110,42037054,Male,Germ Cell Tumors,2013
25,41956389,Male,Germ Cell Tumors,2014
102,41956389,Male,Germ Cell Tumors,2014
17,41936220,Male,Germ Cell Tumors,2015
105,41936220,Male,Germ Cell Tumors,2015
30,41945689,Male,Germ Cell Tumors,2016
108,41945689,Male,Germ Cell Tumors,2016
22,41924375,Male,Germ Cell Tumors,2017
129,41924375,Male,Germ Cell Tumors,2017
76,41889233,Male,Glioblastoma,2004
61,42006384,Male,Glioblastoma,2005
68,42158997,Male,Glioblastoma,2006
69,42367071,Male,Glioblastoma,2007
67,42541971,Male,Glioblastoma,2008
82,42609915,Male,Glioblastoma,2009
67,42549101,Male,Glioblastoma,2010
84,42367731,Male,Glioblastoma,2011
80,42177631,Male,Glioblastoma,2012
91,42037054,Male,Glioblastoma,2013
78,41956389,Male,Glioblastoma,2014
82,41936220,Male,Glioblastoma,2015
81,41945689,Male,Glioblastoma,2016
69,41924375,Male,Glioblastoma,2017
